,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
59594,92,876.0,NEW YORK HOTEL MOTEL TRADES COUNCIL,4400.0,1000.0,2700.0,5400.0,2
59804,93,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,69700.0,4200.0,44900.0,134700.0,3
59812,93,142.0,NYS LABORERS PAC STATE FUND,69700.0,5000.0,33675.0,134700.0,4
59820,93,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,47100.0,3000.0,22387.5,358200.0,16
59826,93,164.0,LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,25000.0,1000.0,12142.857142857143,85000.0,7
59827,93,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,25000.0,2500.0,13520.0,67600.0,5
59840,93,188.0,LAWPAC OF NEW YORK,69700.0,25000.0,44933.33333333334,134800.0,3
59845,93,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,50000.0,250.0,16050.0,80250.0,5
59909,93,523.0,RPAC OF NEW YORK STATE,50000.0,5000.0,17010.0,170100.0,10
59966,93,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,25000.0,2500.0,13520.0,67600.0,5
65822,94,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY POLITICA,21000.0,2500.0,11750.0,23500.0,2
65828,94,142.0,NEW YORK STATE LABORERS POLITICAL ACTION COMMITTEE,21100.0,5000.0,14566.666666666664,43700.0,3
65835,94,153.0,TRANSPORT WORKERS UNION LOCAL 100,21100.0,21000.0,21050.0,42100.0,2
65839,94,164.0,32BJ UNITED AMERICAN DREAM FUND,10000.0,10000.0,10000.0,10000.0,1
65840,94,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,5000.0,5000.0,5000.0,5000.0,1
65849,94,188.0,LAWPAC OF NEW YORK,10000.0,1000.0,5500.0,11000.0,2
65851,94,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,5000.0,5000.0,5000.0,5000.0,1
65878,94,523.0,RPAC OF NEW YORK STATE,11100.0,1000.0,6183.333333333332,37100.0,6
65901,94,876.0,HOTEL TRADES COUNCIL,5000.0,5000.0,5000.0,5000.0,1
67072,95,117.0,MASON TENDERS DC GREATER NY PA,44000.0,4950.0,17990.0,89950.0,5
67081,95,142.0,NEW YORK STATE LABORERS PAC,44000.0,21000.0,32500.0,65000.0,2
67090,95,153.0,TRANSPORT WORKERS UNION LOC100,40000.0,500.0,10576.923076923076,137500.0,13
67097,95,164.0,LOCAL 32BJ NY/NJ AMERICAN DREA,20000.0,1000.0,9850.0,68950.0,7
67098,95,165.0,LOCAL 6 POLITICAL ACTION COMMI,21100.0,4950.0,10262.5,41050.0,4
67105,95,188.0,LAWPAC,44000.0,10000.0,16800.0,84000.0,5
67110,95,196.0,1199/SEIU NYS POLITICAL ACTION,25000.0,4950.0,15237.5,60950.0,4
67154,95,523.0,RPAC OF NEW YORK STATE,15000.0,500.0,7388.88888888889,66500.0,9
67173,95,793.0,UFT COPE,22000.0,1000.0,9628.57142857143,67400.0,7
67180,95,876.0,NY HOTEL & MOTEL TRADES COUNCI,21100.0,4950.0,10262.5,41050.0,4
67184,95,948.0,N.Y.C. CAMPAIGN FINANCE BOARD,715783.0,997.0,189121.5,756486.0,4
71731,96,117.0,MASON TENDERS DISTRICT COUNCIL PAC,12100.0,3000.0,8762.5,70100.0,8
71738,96,142.0,NEW YORK STATE LABORERS' PACSTATE FUND,10000.0,500.0,4750.0,57000.0,12
71747,96,153.0,TRANSPORT WORKERS UNION LOCAL 100 POLITICAL CONTRI,25000.0,1000.0,7227.272727272727,79500.0,11
71755,96,164.0,LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,10000.0,2000.0,5833.333333333332,52500.0,9
71756,96,165.0,LOCAL 6 POLITICAL ACTION COMMITTEE,12500.0,2500.0,6500.0,32500.0,5
71768,96,188.0,LAWPAC OF NEW YORK,10000.0,1000.0,6827.272727272727,75100.0,11
71774,96,196.0,1199 SEIU NYS POLITICAL ACTON FUND,10000.0,2000.0,5285.714285714285,37000.0,7
71831,96,523.0,RPAC OF NEW YORK STATE,4000.0,250.0,1843.75,14750.0,8
71860,96,793.0,VOTE/COPE COMMITTEE ON POLITICAL EDUCATION OF NYSU,21100.0,500.0,4770.588235294118,81100.0,17
71870,96,876.0,NY HOTEL & MOTEL TRADES COUNCIL PAC,12500.0,2500.0,6500.0,32500.0,5
