,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
14578,19,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,7000.0,3000.0,4375.0,17500.0,4
14583,19,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,1000.0,1
14589,19,793.0,VOTE/COPE OF THE NYS UNITED TEACHERS - STATE ACCOU,11000.0,1000.0,6000.0,12000.0,2
14593,19,876.0,NY HOTEL & MOTEL TRADES COUNCIL NON FEDERAL C.O.P.,5000.0,1500.0,3600.0,18000.0,5
14797,20,164.0,32BJ UNITED ADF,500.0,500.0,500.0,500.0,1
14799,20,188.0,LAW PAC,11000.0,1000.0,7333.333333333332,22000.0,3
14800,20,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,3500.0,3000.0,3250.0,6500.0,2
14803,20,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,500.0,1
14806,20,793.0,VOICE OF TEACHERS  (VOTE/COPE),1000.0,500.0,750.0,1500.0,2
14839,21,153.0,TWU LOCAL 100,2500.0,1000.0,2000.0,6000.0,3
14842,21,164.0,32BJ SEIU POLITICAL ACTION COMMITTE,2000.0,1000.0,1700.0,8500.0,5
14843,21,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,11000.0,1000.0,4100.0,20500.0,5
14848,21,188.0,LAW PAC OF NEW YORK,5000.0,1000.0,3000.0,15000.0,5
14849,21,196.0,1199 SEIU NYS PAF,3500.0,2000.0,2833.333333333333,8500.0,3
14886,21,793.0,VOTE/COPE OF THE NYS UNITED TEACHERS - STATE ACCOU,750.0,500.0,583.3333333333334,1750.0,3
14889,21,876.0,HOTEL TRADES COUNCIL,3500.0,1000.0,2400.0,12000.0,5
16703,22,117.0,MASON TENDERS DISTRICT COUNCIL,7000.0,7000.0,7000.0,7000.0,1
16717,22,164.0,LOCAL 32BJ NY/NJ DREAM FUND,5000.0,5000.0,5000.0,5000.0,1
16718,22,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3500.0,3500.0,3500.0,3500.0,1
16720,22,188.0,LAWPAC OF NEW YORK,11000.0,1000.0,6000.0,12000.0,2
16722,22,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,11000.0,3000.0,7000.0,14000.0,2
16745,22,793.0,VOICE OF TEACHERS FOR EDUCATION,11000.0,7000.0,9666.666666666666,29000.0,3
16747,22,876.0,NY HOTEL AND MOTEL TRADES COUNCIL,3500.0,3500.0,3500.0,3500.0,1
23087,23,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK,2500.0,2500.0,2500.0,2500.0,1
23093,23,142.0,NEW YORK STATE LABORERS PAC-STATE FUND,5000.0,1000.0,2333.333333333333,7000.0,3
23101,23,164.0,32BJ UNITED ADF,5000.0,250.0,2312.5,9250.0,4
23102,23,165.0,LOCAL 6 COMMITTEE ON POLITICLA EDUCATION,11000.0,1000.0,3583.333333333333,21500.0,6
23106,23,188.0,LAWPAC OF NEW YORK,2000.0,500.0,1111.111111111111,10000.0,9
23108,23,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,5000.0,1900.0,3066.666666666666,18400.0,6
23127,23,523.0,RPAC OF NEW YORK STATE,9800.0,250.0,2179.4117647058824,37050.0,17
23142,23,793.0,VOTE COPE,5000.0,500.0,2231.25,17850.0,8
23150,23,876.0,NY HOTEL TRADES COUNCIL,11000.0,1000.0,3583.333333333333,21500.0,6
23519,24,117.0,MASON TENDERS DISTRICT COUNCIL PAC,7000.0,1000.0,3333.333333333333,10000.0,3
23526,24,142.0,NEW YORK STATE LABORERS PAC,5000.0,1000.0,3000.0,6000.0,2
23530,24,153.0,TWU LOCAL 100,2000.0,500.0,1166.6666666666667,3500.0,3
23536,24,164.0,32BJ UNITED ADF,2000.0,1000.0,1333.3333333333333,4000.0,3
23537,24,165.0,LOCAL 6 COPE,5000.0,2500.0,3800.0,19000.0,5
23541,24,188.0,LAWPAC OF NY,7000.0,500.0,2500.0,30000.0,12
23544,24,196.0,1199 SEIU,7500.0,1000.0,4583.333333333333,27500.0,6
23571,24,523.0,RPAC OF NYS,250.0,250.0,250.0,250.0,1
